Index	CID_stereo	InChIKey	SMILES
161	3038	GJQPMPFPNINLKP-UHFFFAOYSA-N	C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
162	3042	CURUTKGFNZGFSE-UHFFFAOYSA-N	CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
163	3043	BXZVVICBKDXVGW-UHFFFAOYSA-N	C1CC(OC1CO)N2C=NC3=C2NC=NC3=O
164	3053	QPCDCPDFJACHGM-UHFFFAOYSA-N	C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
165	3059	HUPFGZXOMWLGNK-UHFFFAOYSA-N	C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
166	3080	WQABCVAJNWAXTE-UHFFFAOYSA-N	C(C(CS)S)O
167	3100	ZZVUWRFHKOJYTH-UHFFFAOYSA-N	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
168	3105	OCUJLLGVOUDECM-UHFFFAOYSA-N	CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C
169	3108	IZEKFCXSFNUWAM-UHFFFAOYSA-N	C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
170	3114	UVTNFZQICZKOEM-UHFFFAOYSA-N	CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
171	3117	AUZONCFQVSMFAP-UHFFFAOYSA-N	CCN(CC)C(=S)SSC(=S)N(CC)CC
172	3121	NIJJYAXOARWZEE-UHFFFAOYSA-N	CCCC(CCC)C(=O)O
173	3151	FGXWKSZFVQUSTL-UHFFFAOYSA-N	C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
174	3152	ADEBPBSSDYVVLD-UHFFFAOYSA-N	COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
175	3154	IAVUPMFITXYVAF-UHFFFAOYSA-N	CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
176	3156	XFDJYSQDBULQSI-UHFFFAOYSA-N	CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4
177	3157	RUZYUOTYCVRMRZ-UHFFFAOYSA-N	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
178	3158	ODQWQRRAPPTVAG-UHFFFAOYSA-N	CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
179	3168	RMEDXOLNCUSCGS-UHFFFAOYSA-N	C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
180	3182	KSCFJBIXMNOVSH-UHFFFAOYSA-N	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
181	3198	LEZWWPYKPKIXLL-UHFFFAOYSA-N	C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
182	3202	VWLHWLSRQJQWRG-UHFFFAOYSA-O	CC[N+](C)(C)C1=CC(=CC=C1)O
183	3219	KBUZBQVCBVDWKX-UHFFFAOYSA-N	CCOCCN1C2=CC=CC=C2N=C1N3CCCN(CC3)C
184	3226	JPGQOUSTVILISH-UHFFFAOYSA-N	C(C(OC(F)F)(F)F)(F)Cl
185	3241	WHWZLSFABNNENI-UHFFFAOYSA-N	C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N
186	3261	CDCHDCWJMGXXRH-UHFFFAOYSA-N	C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4
187	3278	AVOLMBLBETYQHX-UHFFFAOYSA-N	CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
188	3279	AEUTYOVWOVBAKS-UHFFFAOYSA-N	CCC(CO)NCCNC(CC)CO
189	3291	HAPOVYFOVVWLRS-UHFFFAOYSA-N	CCC1(CC(=O)NC1=O)C
190	3292	SZQIFWWUIBRPBZ-UHFFFAOYSA-N	CCN1C(=O)C(NC1=O)C2=CC=CC=C2
191	3305	DBVJJBKOTRCVKF-UHFFFAOYSA-N	CC(O)(P(=O)(O)O)P(=O)(O)O
192	3308	NNYBQONXHNTVIJ-UHFFFAOYSA-N	CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O
193	3324	GGXKWVWZWMLJEH-UHFFFAOYSA-N	CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
194	3331	WKGXYQFOCVYPAC-UHFFFAOYSA-N	C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
195	3333	RZTAMFZIAATZDJ-UHFFFAOYSA-N	CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
196	3339	YMTINGFKWWXKFG-UHFFFAOYSA-N	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
197	3340	TVURRHSHRRELCG-UHFFFAOYSA-O	C1C[NH2+]CC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
